gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,cusip,curcd,at,bkvlps,ceq,dltt,dt,ni,pi,txt,costat
2270,20141231,2014,INDL,C,D,STD,G3157S106,USD,16059.9,35.0694,8215,5885.6,5920.4,-3902.6,-2548.8,140.5,A
2270,20151231,2015,INDL,C,D,STD,G3157S106,USD,13637,27.6733,6512.9,5895.1,5895.1,-1594.8,-1471.2,-13.9,A
2290,20061231,2006,INDL,C,D,STD,67622P101,USD,6216.048,25.7788,1930.909,1854.246,1879.88,91.721,171.878,68.741,I
2290,20071231,2007,INDL,C,D,STD,67622P101,USD,6283.768,29.558,2228.583,1819.421,1854.248,207.373,337.527,125.282,I
2290,20081231,2008,INDL,C,D,STD,67622P101,USD,4173.583,3.2567,247.438,1759.922,1824.374,-1657.932,-1972.4,-306.481,I
2290,20091231,2009,INDL,C,D,STD,67622P101,USD,4069.531,5.5151,466.717,1744.622,1767.052,0.667,-30.333,-28.758,I
2290,20101231,2010,INDL,C,D,STD,67622P101,USD,4078.929,6.6997,569.864,1740.435,1744.995,71.155,115.736,41.872,I
2290,20111231,2011,INDL,C,D,STD,67622P101,USD,4069.275,6.2706,540.267,1699.323,1738.19,34.894,57.637,19.517,I
2290,20121231,2012,INDL,C,D,STD,67622P101,USD,3784.315,11.59,1006.982,960.962,971.194,416.79,669.54,248.722,I
2312,20061231,2006,INDL,C,D,STD,770323103,USD,1459.021,6.212,1042.671,3.831,4.194,283.178,466.202,183.024,A
2312,20071231,2007,INDL,C,D,STD,770323103,USD,1450.298,6.2259,984.049,3.753,4.123,296.212,490.404,194.192,A
2312,20081231,2008,INDL,C,D,STD,770323103,USD,1411.85,6.5183,983.888,1.892,1.997,250.181,419.276,169.095,A
2312,20091231,2009,INDL,C,D,STD,770323103,USD,1283.535,6.0534,899.81,1.779,1.892,37.263,66.763,29.5,A
2312,20101231,2010,INDL,C,D,STD,770323103,USD,1273.984,5.7077,834.371,1.656,1.779,66.069,115.168,49.099,A
2312,20111231,2011,INDL,C,D,STD,770323103,USD,1311.836,5.6339,800.505,1.545,1.656,149.922,250.216,100.294,A
2312,20121231,2012,INDL,C,D,STD,770323103,USD,1381.271,6.0386,842.011,1.428,1.545,209.942,344.245,134.303,A
2312,20131231,2013,INDL,C,D,STD,770323103,USD,1490.271,6.69,919.643,1.3,1.428,252.195,397.579,145.384,A
2312,20141231,2014,INDL,C,D,STD,770323103,USD,1647.267,7.251,979.858,1.159,1.299,305.928,497.349,191.421,A
2312,20151231,2015,INDL,C,D,STD,770323103,USD,1702.96,7.6533,1003.781,1.007,1.16,357.796,581.03,223.234,A
2403,20061231,2006,INDL,C,D,STD,110122108,USD,25575,5.0793,9991,7248,7248,1585,2635,610,A
2403,20071231,2007,INDL,C,D,STD,110122108,USD,26172,5.337,10562,4381,4381,2165,3534,803,A
2403,20081231,2008,INDL,C,D,STD,110122108,USD,29552,6.1854,12241,6585,6612,5247,5471,1320,A
2403,20091231,2009,INDL,C,D,STD,110122108,USD,31008,8.6599,14843,6130,6278,10570,5602,1182,A
2403,20101231,2010,INDL,C,D,STD,110122108,USD,31076,9.2212,15713,5328,5345,3102,6071,1558,A
2403,20111231,2011,INDL,C,D,STD,110122108,USD,32970,9.4414,15956,5376,5376,3709,6981,1721,A
2403,20121231,2012,INDL,C,D,STD,110122108,USD,35897,8.3168,13623,6568,7232,1960,2340,-161,A
2403,20131231,2013,INDL,C,D,STD,110122108,USD,38592,9.1898,15154,7981,8008,2563,2891,311,A
2403,20141231,2014,INDL,C,D,STD,110122108,USD,33749,8.9416,14852,7242,7242,2004,2381,352,A
2403,20151231,2015,INDL,C,D,STD,110122108,USD,31748,8.5476,14266,6550,6550,1565,2077,446,A
2435,20070430,2006,INDL,C,D,STD,115637209,USD,3551,12.764,1573,422,776,389,586,186,A
2435,20080430,2007,INDL,C,D,STD,115637209,USD,3405,14.3044,1725,417,421,440,644,204,A
2435,20090430,2008,INDL,C,D,STD,115637209,USD,3475,12.0964,1816,509,662,435,630,195,A
2435,20100430,2009,INDL,C,D,STD,115637209,USD,3383,12.8944,1895,508,511,449,682,233,A
2435,20110430,2010,INDL,C,D,STD,115637209,USD,3712,14.2079,2060,504,759,572,829,257,A
2435,20120430,2011,INDL,C,D,STD,115637209,USD,3477,14.5628,2069,503,506,513,760,247,A
2435,20130430,2012,INDL,C,D,STD,115637209,USD,3626,7.6179,1628,997,999,591,865,274,A
2435,20140430,2013,INDL,C,D,STD,115637209,USD,4103,9.5196,2032,997,997,659,947,288,A
2435,20150430,2014,INDL,C,D,STD,115637209,USD,4193,9.1279,1905,748,998,684,1002,318,A
